ITEM_TYPE,ITEMS,Brand Name,Dealer Name,Sales Units,Net Sales $,Net Cost $,SOP $,SOP Units,Net Receipt $,Net Receipt Units,RC $,RC Units,Average Inventory value,Average Inventory Units,Tax Percent %,Gross Receipt $,Gross Receipt Units,Avg item price,Fashion-Style Number,Inventory Weeks,Fashion-Style Count 
207S,SHOES,BATA,Fashion Quotient,"10,648","$3,933,236 ","$1,251,958 ","$1,669,022 ","8,001","$1,392,503 ","17,537",$0 ,0,"$1,198,603 ","8,599",42.10%,"$1,347,085 ","17,320",$117.60 ,730,30,1
207S,SHOES,BATA,Fashion Quotient,896,"$338,975 ","$194,540 ","$157,856 ",729,"$387,820 ","1,726",$0 ,0,"$174,481 ",784,36.70%,"$383,729 ","1,712",$217.10 ,310,30,1
207S,SHOES,BATA,Fashion Quotient,477,"$37,940 ","$8,633 ",$837 ,19,"$56,436 ","3,362",$0 ,0,"$24,722 ","1,472",13.80%,"$57,780 ","3,448",$18.10 ,11,25,1
207S,SHOES,BATA,Fashion Quotient,367,"$27,075 ","$17,319 ","$87,084 ","1,858","($2,765)",-63,$0 ,0,"$53,873 ","1,151",19.80%,$0 ,0,$47.20 ,19,13,1
207S,SHOES,BATA,Fashion Quotient,67,"$33,243 ","$8,064 ","$96,597 ",715,"$27,219 ",331,$0 ,0,"$35,645 ",271,6.00%,"$36,524 ",397,$120.40 ,63,29,6
207S,SHOES,BATA,Fashion Quotient,"7,667","$360,077 ","$196,224 ","$184,182 ","6,889","$299,721 ","12,003",$0 ,0,"$131,738 ","5,051",40.30%,"$303,688 ","12,152",$25.60 ,190,30,1
207S,SHOES,BATA,Fashion Quotient,"1,397","$233,037 ","$133,271 ","$80,060 ",656,"$211,659 ","2,852","$11,144 ",89,"$117,351 ","1,602",40.10%,"$206,332 ","2,828",$95.40 ,36,30,2
207S,SHOES,BATA,Fashion Quotient,"1,945","$205,726 ","$132,902 ","$339,153 ","4,950","$28,466 ",522,$0 ,0,"$135,424 ","1,990",35.40%,"$29,361 ",545,$68.30 ,68,30,15
207S,SHOES,BATA,Fashion Quotient,"2,984","$340,663 ","$200,920 ","$627,581 ","8,698","$391,494 ","5,787",$0 ,0,"$305,058 ","4,257",20.10%,"$418,086 ","6,158",$67.30 ,893,30,1
202G,GIFTS,STRAUT LITTLE,ArchGalllery,1,$7 ,$32 ,$910 ,3736,$0 ,0,$0 ,0,928727,1916,25%,$0 ,0,$32.20 ,1,0,1
